date,team,exp_points,exp_gd,p_champion,p_top4,p_top6,p_relegation,median_position,source
2026-09-14,Arsenal,77.3,36.5,0.5988,0.9773,0.9949,0.0,1,market_implied
2026-09-14,Man City,72.8,29.1,0.2839,0.9198,0.9775,0.0001,2,market_implied
2026-09-14,Chelsea,64.9,17.4,0.0574,0.6289,0.833,0.0003,4,market_implied
2026-09-14,Liverpool,61.5,14.7,0.0258,0.4499,0.704,0.0015,5,market_implied
2026-09-14,Man United,60.0,13.1,0.0233,0.368,0.6332,0.0031,5,market_implied
2026-09-14,Bournemouth,54.0,5.0,0.0029,0.1267,0.3165,0.0244,8,market_implied
2026-09-14,Leeds,53.7,2.0,0.0021,0.1207,0.2985,0.0283,9,market_implied
2026-09-14,Brentford,53.0,2.7,0.0022,0.1039,0.2656,0.0341,9,market_implied
2026-09-14,Brighton,51.6,2.2,0.0014,0.0785,0.2139,0.0496,10,market_implied
2026-09-14,Newcastle,50.9,-1.3,0.0009,0.0644,0.1852,0.0607,10,market_implied
2026-09-14,Everton,49.3,-3.7,0.0003,0.043,0.1365,0.0908,12,market_implied
2026-09-14,Aston Villa,47.7,-7.0,0.0003,0.0287,0.0953,0.1318,13,market_implied
2026-09-14,Sunderland,47.2,-7.5,0.0005,0.0222,0.0826,0.1412,13,market_implied
2026-09-14,Hull,46.9,-9.7,0.0002,0.0192,0.0714,0.1558,13,market_implied
2026-09-14,Nott'm Forest,45.5,-8.1,0.0,0.0152,0.0584,0.1978,14,market_implied
2026-09-14,Ipswich,45.3,-12.9,0.0,0.0106,0.0481,0.2062,14,market_implied
2026-09-14,Coventry,45.1,-9.4,0.0,0.0154,0.0533,0.2226,14,market_implied
2026-09-14,Crystal Palace,42.9,-16.7,0.0,0.006,0.0235,0.3235,16,market_implied
2026-09-14,Fulham,38.2,-18.4,0.0,0.0011,0.007,0.5747,18,market_implied
2026-09-14,Tottenham,34.7,-27.9,0.0,0.0005,0.0016,0.7535,19,market_implied
