date,team,exp_points,exp_gd,p_champion,p_top4,p_top6,p_relegation,median_position,source
2026-08-14,Arsenal,68.9,25.4,0.3643,0.8211,0.9181,0.0001,2,market_implied
2026-08-14,Man City,66.8,22.2,0.2524,0.7479,0.8762,0.0006,3,market_implied
2026-08-14,Liverpool,62.4,15.4,0.1156,0.5246,0.7264,0.0039,4,market_implied
2026-08-14,Man United,61.9,14.6,0.1038,0.5067,0.7058,0.004,4,market_implied
2026-08-14,Chelsea,61.4,13.9,0.091,0.4754,0.6834,0.0044,5,market_implied
2026-08-14,Tottenham,56.1,6.0,0.027,0.2299,0.415,0.0246,8,market_implied
2026-08-14,Aston Villa,53.3,1.7,0.0125,0.131,0.2804,0.0537,9,market_implied
2026-08-14,Bournemouth,50.8,-2.0,0.0059,0.0776,0.1845,0.0979,11,market_implied
2026-08-14,Brentford,50.7,-2.2,0.005,0.0785,0.1818,0.0984,11,market_implied
2026-08-14,Brighton,50.2,-3.1,0.0041,0.0667,0.1614,0.1085,12,market_implied
2026-08-14,Leeds,49.9,-3.4,0.0037,0.0646,0.1561,0.1189,12,market_implied
2026-08-14,Nott'm Forest,49.6,-3.7,0.0032,0.0678,0.157,0.1273,12,market_implied
2026-08-14,Ipswich,48.4,-5.7,0.0026,0.0487,0.1178,0.1603,13,market_implied
2026-08-14,Fulham,48.1,-6.3,0.0026,0.0442,0.1061,0.1735,13,market_implied
2026-08-14,Newcastle,47.3,-7.4,0.0019,0.0336,0.0885,0.1995,14,market_implied
2026-08-14,Coventry,46.6,-8.4,0.0017,0.0275,0.0801,0.2274,14,market_implied
2026-08-14,Sunderland,46.2,-9.1,0.0011,0.0243,0.0689,0.2386,14,market_implied
2026-08-14,Everton,45.0,-10.8,0.0012,0.0169,0.0506,0.2868,15,market_implied
2026-08-14,Crystal Palace,43.8,-12.8,0.0004,0.0121,0.0383,0.3535,16,market_implied
2026-08-14,Hull,36.7,-24.3,0.0,0.0009,0.0036,0.7181,19,market_implied
